id_beneficiaire,annee,region,code_region,province,milieu,genre,age,tranche_age,operateur,niveau_formation,heures_formation,formation_completee,score_evaluation_final
ALP501169,2015,Marrakech-Safi,MAR,Essaouira,Urbain,Féminin,53,50-64,Association partenaire,Niveau 2 (intermédiaire),81,1,77.8
ALP501170,2021,Fès-Meknès,FES,Taounate,Urbain,Masculin,61,50-64,ANLCA,Niveau 2 (intermédiaire),163,1,54.8
ALP501171,2018,Casablanca-Settat,CAS,Benslimane,Rural,Masculin,49,35-49,Association partenaire,Niveau 3 (avancé),79,1,69.7
ALP501172,2017,Fès-Meknès,FES,Moulay Yacoub,Rural,Masculin,44,35-49,ANLCA,Niveau 1 (débutant),76,1,97.0
ALP501173,2021,Fès-Meknès,FES,El Hajeb,Urbain,Féminin,63,50-64,Entreprise,Niveau 3 (avancé),160,1,92.0
ALP501174,2019,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Urbain,Féminin,42,35-49,ANLCA,Niveau 1 (débutant),199,1,67.1
ALP501175,2022,Marrakech-Safi,MAR,Essaouira,Rural,Masculin,36,35-49,Entreprise,Niveau 1 (débutant),181,1,82.3
ALP501176,2020,Béni Mellal-Khénifra,BMK,Azilal,Rural,Féminin,43,35-49,Association partenaire,Niveau 3 (avancé),58,1,70.7
ALP501177,2015,Casablanca-Settat,CAS,Khouribga,Rural,Féminin,23,15-24,Mosquée,Niveau 1 (débutant),98,1,56.0
ALP501178,2018,Fès-Meknès,FES,El Hajeb,Urbain,Masculin,24,15-24,ANLCA,Niveau 1 (débutant),170,0,52.9
ALP501179,2018,Oriental,ORI,Figuig,Rural,Féminin,50,35-49,ANLCA,Niveau 2 (intermédiaire),51,0,59.6
ALP501180,2023,Casablanca-Settat,CAS,Casablanca,Urbain,Masculin,34,25-34,Mosquée,Niveau 3 (avancé),65,0,78.2
ALP501181,2021,Casablanca-Settat,CAS,Khouribga,Rural,Féminin,17,15-24,ANLCA,Niveau 2 (intermédiaire),93,1,40.8
ALP501182,2017,Casablanca-Settat,CAS,Mohammadia,Urbain,Féminin,19,15-24,ANLCA,Niveau 2 (intermédiaire),128,1,69.0
ALP501183,2020,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Féminin,45,35-49,ANLCA,Niveau 1 (débutant),62,1,52.3
ALP501184,2017,Casablanca-Settat,CAS,Khouribga,Rural,Féminin,34,25-34,Association partenaire,Niveau 2 (intermédiaire),50,1,78.4
ALP501185,2022,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Féminin,22,15-24,ONG,Niveau 3 (avancé),86,0,53.8
ALP501186,2020,Drâa-Tafilalet,DRA,Zagora,Rural,Féminin,27,25-34,Association partenaire,Niveau 2 (intermédiaire),136,0,55.7
ALP501187,2015,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Féminin,23,15-24,ONG,Niveau 2 (intermédiaire),199,1,69.4
ALP501188,2023,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Féminin,60,50-64,ANLCA,Niveau 1 (débutant),64,1,59.1
ALP501189,2016,Marrakech-Safi,MAR,Safi,Rural,Féminin,26,25-34,ANLCA,Niveau 1 (débutant),167,1,82.4
ALP501190,2020,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Urbain,Féminin,58,50-64,Association partenaire,Niveau 1 (débutant),159,1,75.3
ALP501191,2016,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Masculin,44,35-49,ANLCA,Niveau 1 (débutant),138,0,42.0
ALP501192,2016,Souss-Massa,SOU,Tiznit,Urbain,Féminin,37,35-49,ANLCA,Niveau 2 (intermédiaire),113,1,28.3
ALP501193,2019,Oriental,ORI,Jerada,Rural,Féminin,49,35-49,Entreprise,Niveau 1 (débutant),186,0,77.7
ALP501194,2018,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,53,50-64,ANLCA,Niveau 2 (intermédiaire),101,1,60.1
ALP501195,2022,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,26,25-34,Mosquée,Niveau 2 (intermédiaire),84,1,48.1
ALP501196,2018,Souss-Massa,SOU,Taroudannt,Urbain,Masculin,55,50-64,Association partenaire,Niveau 3 (avancé),66,1,73.7
ALP501197,2023,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Féminin,46,35-49,Mosquée,Niveau 3 (avancé),63,0,68.7
ALP501198,2016,Souss-Massa,SOU,Tiznit,Urbain,Masculin,34,25-34,Mosquée,Niveau 3 (avancé),191,1,89.3
ALP501199,2015,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,39,35-49,ANLCA,Niveau 3 (avancé),184,1,80.1
ALP501200,2018,Drâa-Tafilalet,DRA,Zagora,Rural,Masculin,48,35-49,ONG,Niveau 3 (avancé),83,0,85.7
ALP501201,2018,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Féminin,30,25-34,ONG,Niveau 2 (intermédiaire),94,0,38.8
ALP501202,2019,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Masculin,22,15-24,Association partenaire,Niveau 2 (intermédiaire),115,1,55.7
ALP501203,2021,Marrakech-Safi,MAR,Marrakech,Urbain,Féminin,49,35-49,Association partenaire,Niveau 2 (intermédiaire),96,1,65.7
ALP501204,2020,Casablanca-Settat,CAS,Berrechid,Rural,Masculin,51,50-64,Mosquée,Niveau 1 (débutant),147,1,52.5
ALP501205,2018,Marrakech-Safi,MAR,Youssoufia,Rural,Féminin,39,35-49,ANLCA,Niveau 3 (avancé),175,0,72.9
ALP501206,2018,Fès-Meknès,FES,Ifrane,Rural,Masculin,25,15-24,ANLCA,Niveau 1 (débutant),185,1,70.5
ALP501207,2020,Marrakech-Safi,MAR,Marrakech,Rural,Féminin,20,15-24,ANLCA,Niveau 1 (débutant),160,0,50.0
ALP501208,2021,Oriental,ORI,Jerada,Urbain,Masculin,35,25-34,ONG,Niveau 1 (débutant),109,1,56.5
ALP501209,2016,Marrakech-Safi,MAR,Youssoufia,Rural,Masculin,59,50-64,ANLCA,Niveau 1 (débutant),122,0,74.6
ALP501210,2020,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Féminin,63,50-64,ANLCA,Niveau 3 (avancé),189,0,64.9
ALP501211,2017,Fès-Meknès,FES,Taounate,Rural,Féminin,28,25-34,ANLCA,Niveau 3 (avancé),117,1,52.0
ALP501212,2015,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Féminin,35,25-34,Association partenaire,Niveau 3 (avancé),122,0,76.4
ALP501213,2018,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Masculin,17,15-24,Association partenaire,Niveau 1 (débutant),178,1,75.5
ALP501214,2021,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Masculin,34,25-34,Association partenaire,Niveau 3 (avancé),163,0,52.6
ALP501215,2016,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Féminin,16,15-24,Association partenaire,Niveau 1 (débutant),59,1,16.7
ALP501216,2015,Marrakech-Safi,MAR,Essaouira,Urbain,Féminin,61,50-64,Entreprise,Niveau 2 (intermédiaire),63,1,33.5
ALP501217,2023,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Masculin,33,25-34,ANLCA,Niveau 1 (débutant),143,0,64.5
ALP501218,2016,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Féminin,30,25-34,Association partenaire,Niveau 1 (débutant),96,1,82.1
ALP501219,2023,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Féminin,48,35-49,Association partenaire,Niveau 1 (débutant),149,0,42.1
ALP501220,2020,Casablanca-Settat,CAS,Mohammadia,Rural,Masculin,59,50-64,Mosquée,Niveau 2 (intermédiaire),88,0,56.4
ALP501221,2022,Souss-Massa,SOU,Taroudannt,Urbain,Masculin,41,35-49,Association partenaire,Niveau 1 (débutant),173,1,61.4
ALP501222,2020,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Féminin,30,25-34,ANLCA,Niveau 1 (débutant),96,1,46.2
ALP501223,2015,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Masculin,43,35-49,ONG,Niveau 3 (avancé),107,1,75.1
ALP501224,2015,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Féminin,36,35-49,Entreprise,Niveau 2 (intermédiaire),122,1,77.6
ALP501225,2022,Casablanca-Settat,CAS,Berrechid,Urbain,Féminin,28,25-34,Association partenaire,Niveau 3 (avancé),189,1,41.5
ALP501226,2016,Drâa-Tafilalet,DRA,Tinghir,Rural,Féminin,50,35-49,Association partenaire,Niveau 1 (débutant),86,0,47.1
ALP501227,2022,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,57,50-64,Association partenaire,Niveau 1 (débutant),52,1,38.1
ALP501228,2022,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Féminin,20,15-24,Entreprise,Niveau 3 (avancé),166,1,69.2
ALP501229,2020,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Féminin,59,50-64,ANLCA,Niveau 1 (débutant),197,0,56.1
ALP501230,2023,Casablanca-Settat,CAS,Mohammadia,Rural,Féminin,48,35-49,Entreprise,Niveau 3 (avancé),178,0,52.6
ALP501231,2019,Fès-Meknès,FES,Taza,Urbain,Féminin,30,25-34,Mosquée,Niveau 1 (débutant),81,0,67.9
ALP501232,2018,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Féminin,27,25-34,Mosquée,Niveau 2 (intermédiaire),102,1,77.1
ALP501233,2018,Marrakech-Safi,MAR,Chichaoua,Urbain,Féminin,47,35-49,ANLCA,Niveau 3 (avancé),75,1,54.6
ALP501234,2018,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Féminin,63,50-64,Association partenaire,Niveau 2 (intermédiaire),173,1,41.8
ALP501235,2022,Laâyoune-Sakia El Hamra,LAA,Laâyoune,Rural,Masculin,58,50-64,Mosquée,Niveau 3 (avancé),54,1,51.7
ALP501236,2020,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,48,35-49,ANLCA,Niveau 2 (intermédiaire),132,1,61.7
ALP501237,2020,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,25,15-24,ANLCA,Niveau 3 (avancé),175,1,71.5
ALP501238,2022,Marrakech-Safi,MAR,Al Haouz,Urbain,Féminin,35,25-34,ANLCA,Niveau 1 (débutant),66,1,53.1
ALP501239,2020,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Masculin,19,15-24,ANLCA,Niveau 2 (intermédiaire),132,1,63.1
ALP501240,2015,Marrakech-Safi,MAR,Essaouira,Rural,Masculin,52,50-64,ANLCA,Niveau 1 (débutant),184,0,43.5
ALP501241,2018,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Féminin,55,50-64,ONG,Niveau 2 (intermédiaire),169,1,56.6
ALP501242,2020,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Féminin,37,35-49,ANLCA,Niveau 1 (débutant),102,1,68.2
ALP501243,2023,Drâa-Tafilalet,DRA,Zagora,Rural,Masculin,55,50-64,ANLCA,Niveau 2 (intermédiaire),51,1,59.4
ALP501244,2021,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Féminin,26,25-34,Association partenaire,Niveau 2 (intermédiaire),160,0,60.3
ALP501245,2022,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Masculin,25,15-24,ANLCA,Niveau 1 (débutant),86,1,82.6
ALP501246,2017,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Féminin,30,25-34,ANLCA,Niveau 2 (intermédiaire),135,0,73.8
ALP501247,2020,Casablanca-Settat,CAS,Mohammadia,Rural,Féminin,36,35-49,ANLCA,Niveau 2 (intermédiaire),48,0,77.7
ALP501248,2019,Casablanca-Settat,CAS,Casablanca,Rural,Masculin,63,50-64,Association partenaire,Niveau 3 (avancé),64,1,82.0
ALP501249,2018,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,32,25-34,ANLCA,Niveau 3 (avancé),59,1,32.5
ALP501250,2016,Fès-Meknès,FES,Taza,Rural,Féminin,21,15-24,ANLCA,Niveau 3 (avancé),167,0,11.2
ALP501251,2017,Oriental,ORI,Driouch,Rural,Féminin,53,50-64,ONG,Niveau 2 (intermédiaire),158,1,70.0
ALP501252,2019,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,37,35-49,Mosquée,Niveau 1 (débutant),102,1,37.0
ALP501253,2019,Casablanca-Settat,CAS,Benslimane,Rural,Masculin,34,25-34,ANLCA,Niveau 2 (intermédiaire),120,1,58.2
ALP501254,2017,Oriental,ORI,Jerada,Rural,Féminin,44,35-49,ANLCA,Niveau 1 (débutant),158,1,50.3
ALP501255,2021,Casablanca-Settat,CAS,Mohammadia,Rural,Féminin,26,25-34,Association partenaire,Niveau 2 (intermédiaire),55,1,44.2
ALP501256,2021,Marrakech-Safi,MAR,Al Haouz,Urbain,Masculin,31,25-34,Mosquée,Niveau 1 (débutant),87,1,29.1
ALP501257,2017,Marrakech-Safi,MAR,Chichaoua,Rural,Masculin,29,25-34,Mosquée,Niveau 1 (débutant),46,0,56.7
ALP501258,2015,Casablanca-Settat,CAS,Settat,Rural,Féminin,24,15-24,ANLCA,Niveau 3 (avancé),107,0,75.8
ALP501259,2018,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Masculin,30,25-34,ONG,Niveau 1 (débutant),112,1,67.6
ALP501260,2015,Marrakech-Safi,MAR,Al Haouz,Urbain,Féminin,21,15-24,Association partenaire,Niveau 2 (intermédiaire),91,1,12.8
ALP501261,2020,Drâa-Tafilalet,DRA,Tinghir,Urbain,Féminin,24,15-24,Mosquée,Niveau 1 (débutant),182,0,49.6
ALP501262,2015,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Féminin,21,15-24,Association partenaire,Niveau 2 (intermédiaire),135,1,46.1
ALP501263,2015,Guelmim-Oued Noun,GUE,Assa-Zag,Rural,Masculin,19,15-24,Mosquée,Niveau 2 (intermédiaire),188,1,42.2
ALP501264,2021,Casablanca-Settat,CAS,Sidi Bennour,Rural,Féminin,42,35-49,Association partenaire,Niveau 2 (intermédiaire),100,0,62.2
ALP501265,2015,Marrakech-Safi,MAR,Chichaoua,Urbain,Féminin,43,35-49,Association partenaire,Niveau 3 (avancé),42,0,80.7
ALP501266,2020,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Féminin,62,50-64,ANLCA,Niveau 2 (intermédiaire),63,1,31.1
ALP501267,2022,Marrakech-Safi,MAR,Marrakech,Urbain,Féminin,23,15-24,ANLCA,Niveau 1 (débutant),195,1,62.3
ALP501268,2021,Fès-Meknès,FES,Ifrane,Urbain,Féminin,56,50-64,Mosquée,Niveau 1 (débutant),173,1,76.4
ALP501269,2017,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Féminin,18,15-24,ANLCA,Niveau 1 (débutant),99,1,81.5
ALP501270,2019,Marrakech-Safi,MAR,Al Haouz,Urbain,Féminin,34,25-34,Association partenaire,Niveau 3 (avancé),188,1,50.1
ALP501271,2020,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Masculin,55,50-64,Association partenaire,Niveau 1 (débutant),92,0,22.5
ALP501272,2020,Marrakech-Safi,MAR,Youssoufia,Urbain,Féminin,27,25-34,Association partenaire,Niveau 1 (débutant),144,1,72.6
ALP501273,2022,Casablanca-Settat,CAS,Mohammadia,Urbain,Féminin,15,,Mosquée,Niveau 1 (débutant),49,1,39.3
ALP501274,2017,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Féminin,32,25-34,Association partenaire,Niveau 3 (avancé),167,1,54.1
ALP501275,2022,Fès-Meknès,FES,Séfrou,Rural,Féminin,32,25-34,ANLCA,Niveau 1 (débutant),56,1,62.6
ALP501276,2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Masculin,16,15-24,ANLCA,Niveau 2 (intermédiaire),48,1,76.9
ALP501277,2023,Casablanca-Settat,CAS,El Jadida,Rural,Féminin,20,15-24,Association partenaire,Niveau 1 (débutant),95,0,50.7
ALP501278,2020,Guelmim-Oued Noun,GUE,Tan-Tan,Urbain,Féminin,27,25-34,ANLCA,Niveau 1 (débutant),127,0,54.3
ALP501279,2016,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Féminin,50,35-49,Association partenaire,Niveau 2 (intermédiaire),117,1,70.2
ALP501280,2016,Marrakech-Safi,MAR,Chichaoua,Rural,Masculin,54,50-64,Mosquée,Niveau 3 (avancé),148,0,100.0
ALP501281,2018,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Masculin,31,25-34,ONG,Niveau 2 (intermédiaire),151,0,66.8
ALP501282,2018,Oriental,ORI,Oujda-Angad,Rural,Féminin,16,15-24,ONG,Niveau 2 (intermédiaire),126,1,49.8
ALP501283,2020,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Féminin,18,15-24,Association partenaire,Niveau 3 (avancé),182,1,41.2
ALP501284,2015,Drâa-Tafilalet,DRA,Midelt,Urbain,Masculin,42,35-49,ANLCA,Niveau 3 (avancé),189,1,59.5
ALP501285,2015,Casablanca-Settat,CAS,Casablanca,Rural,Féminin,21,15-24,ONG,Niveau 3 (avancé),86,1,61.5
ALP501286,2021,Guelmim-Oued Noun,GUE,Tan-Tan,Urbain,Féminin,35,25-34,ANLCA,Niveau 1 (débutant),104,1,36.1
ALP501287,2023,Fès-Meknès,FES,Fès,Rural,Masculin,53,50-64,ANLCA,Niveau 1 (débutant),199,1,80.0
ALP501288,2015,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,56,50-64,Association partenaire,Niveau 1 (débutant),61,1,54.2
ALP501289,2015,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Féminin,53,50-64,ANLCA,Niveau 3 (avancé),118,1,49.6
ALP501290,2021,Souss-Massa,SOU,Tiznit,Rural,Féminin,49,35-49,ANLCA,Niveau 2 (intermédiaire),170,0,60.9
ALP501291,2015,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Masculin,32,25-34,ANLCA,Niveau 3 (avancé),89,1,52.4
ALP501292,2022,Marrakech-Safi,MAR,Chichaoua,Urbain,Féminin,50,35-49,ONG,Niveau 1 (débutant),110,1,44.9
ALP501293,2020,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Féminin,39,35-49,Association partenaire,Niveau 1 (débutant),181,1,39.1
ALP501294,2019,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Féminin,29,25-34,Mosquée,Niveau 1 (débutant),181,0,70.2
ALP501295,2020,Casablanca-Settat,CAS,Sidi Bennour,Rural,Masculin,49,35-49,ANLCA,Niveau 2 (intermédiaire),68,1,17.6
ALP501296,2022,Casablanca-Settat,CAS,Khouribga,Urbain,Féminin,35,25-34,ANLCA,Niveau 3 (avancé),161,1,69.7
ALP501297,2018,Souss-Massa,SOU,Taroudannt,Rural,Féminin,49,35-49,Entreprise,Niveau 2 (intermédiaire),102,0,52.7
ALP501298,2019,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Féminin,40,35-49,Entreprise,Niveau 2 (intermédiaire),42,1,53.9
ALP501299,2016,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Urbain,Masculin,56,50-64,Association partenaire,Niveau 1 (débutant),88,0,92.3
ALP501300,2020,Fès-Meknès,FES,Ifrane,Rural,Féminin,52,50-64,ANLCA,Niveau 2 (intermédiaire),140,1,90.9
ALP501301,2022,Casablanca-Settat,CAS,Casablanca,Rural,Féminin,29,25-34,ANLCA,Niveau 2 (intermédiaire),153,1,60.2
ALP501302,2016,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Féminin,33,25-34,Association partenaire,Niveau 1 (débutant),163,1,50.2
ALP501303,2020,Guelmim-Oued Noun,GUE,Assa-Zag,Rural,Féminin,62,50-64,Entreprise,Niveau 1 (débutant),153,1,91.5
ALP501304,2023,Fès-Meknès,FES,Ifrane,Urbain,Féminin,20,15-24,Association partenaire,Niveau 2 (intermédiaire),47,1,41.0
ALP501305,2021,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Féminin,24,15-24,Mosquée,Niveau 1 (débutant),93,1,69.8
ALP501306,2020,Casablanca-Settat,CAS,Settat,Rural,Féminin,27,25-34,Mosquée,Niveau 3 (avancé),181,0,74.6
ALP501307,2015,Oriental,ORI,Figuig,Urbain,Féminin,52,50-64,Association partenaire,Niveau 2 (intermédiaire),40,1,100.0
ALP501308,2016,Guelmim-Oued Noun,GUE,Sidi Ifni,Rural,Féminin,45,35-49,ANLCA,Niveau 1 (débutant),87,1,60.8
ALP501309,2023,Oriental,ORI,Berkane,Rural,Féminin,54,50-64,Association partenaire,Niveau 2 (intermédiaire),117,1,65.7
ALP501310,2016,Fès-Meknès,FES,Ifrane,Urbain,Féminin,45,35-49,ONG,Niveau 2 (intermédiaire),145,1,63.2
ALP501311,2021,Fès-Meknès,FES,El Hajeb,Rural,Féminin,29,25-34,Association partenaire,Niveau 2 (intermédiaire),140,1,70.8
ALP501312,2017,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,33,25-34,Association partenaire,Niveau 1 (débutant),112,1,77.4
ALP501313,2023,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Masculin,17,15-24,Mosquée,Niveau 2 (intermédiaire),158,1,77.1
ALP501314,2023,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Féminin,30,25-34,ONG,Niveau 2 (intermédiaire),163,1,58.1
ALP501315,2022,Fès-Meknès,FES,Meknès,Urbain,Féminin,57,50-64,Association partenaire,Niveau 2 (intermédiaire),183,0,43.5
ALP501316,2017,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Féminin,39,35-49,ANLCA,Niveau 3 (avancé),122,1,49.2
ALP501317,2022,Marrakech-Safi,MAR,Youssoufia,Rural,Féminin,24,15-24,Association partenaire,Niveau 2 (intermédiaire),106,1,79.6
ALP501318,2015,Casablanca-Settat,CAS,Settat,Urbain,Féminin,59,50-64,Association partenaire,Niveau 1 (débutant),84,1,23.9
ALP501319,2022,Marrakech-Safi,MAR,Marrakech,Rural,Féminin,34,25-34,ANLCA,Niveau 3 (avancé),129,1,26.4
ALP501320,2017,Casablanca-Settat,CAS,Casablanca,Rural,Masculin,15,,Entreprise,Niveau 1 (débutant),59,1,87.4
ALP501321,2020,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Masculin,47,35-49,ONG,Niveau 3 (avancé),184,1,51.4
ALP501322,2023,Drâa-Tafilalet,DRA,Midelt,Rural,Masculin,22,15-24,Mosquée,Niveau 2 (intermédiaire),172,1,58.7
ALP501323,2019,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Féminin,60,50-64,Association partenaire,Niveau 1 (débutant),135,1,100.0
ALP501324,2015,Marrakech-Safi,MAR,Al Haouz,Rural,Féminin,38,35-49,ANLCA,Niveau 2 (intermédiaire),90,1,69.0
ALP501325,2016,Marrakech-Safi,MAR,Youssoufia,Rural,Féminin,24,15-24,Association partenaire,Niveau 3 (avancé),63,1,67.8
ALP501326,2018,Casablanca-Settat,CAS,Khouribga,Urbain,Masculin,54,50-64,Association partenaire,Niveau 3 (avancé),90,1,67.0
ALP501327,2017,Souss-Massa,SOU,Tiznit,Rural,Féminin,47,35-49,Entreprise,Niveau 1 (débutant),127,1,42.8
ALP501328,2023,Marrakech-Safi,MAR,Marrakech,Rural,Féminin,62,50-64,ANLCA,Niveau 2 (intermédiaire),189,1,78.1
ALP501329,2017,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Urbain,Féminin,25,15-24,ANLCA,Niveau 1 (débutant),89,0,70.8
ALP501330,2019,Fès-Meknès,FES,Boulemane,Rural,Féminin,34,25-34,ANLCA,Niveau 2 (intermédiaire),48,1,82.7
ALP501331,2018,Rabat-Salé-Kénitra,RAB,Salé,Rural,Féminin,32,25-34,Mosquée,Niveau 1 (débutant),120,1,78.2
ALP501332,2016,Casablanca-Settat,CAS,Berrechid,Urbain,Féminin,25,15-24,Mosquée,Niveau 1 (débutant),136,1,69.5
ALP501333,2016,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Féminin,21,15-24,Association partenaire,Niveau 2 (intermédiaire),50,1,31.4
ALP501334,2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Féminin,57,50-64,ANLCA,Niveau 2 (intermédiaire),145,1,54.5
ALP501335,2022,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Masculin,42,35-49,ANLCA,Niveau 1 (débutant),111,1,65.7
ALP501336,2015,Casablanca-Settat,CAS,Benslimane,Rural,Masculin,19,15-24,Association partenaire,Niveau 2 (intermédiaire),61,0,100.0
ALP501337,2021,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,22,15-24,Mosquée,Niveau 2 (intermédiaire),120,1,71.7
ALP501338,2018,Drâa-Tafilalet,DRA,Errachidia,Rural,Féminin,20,15-24,Association partenaire,Niveau 2 (intermédiaire),65,1,59.7
ALP501339,2016,Marrakech-Safi,MAR,Marrakech,Urbain,Masculin,16,15-24,ANLCA,Niveau 3 (avancé),170,1,50.9
ALP501340,2016,Fès-Meknès,FES,Taounate,Urbain,Féminin,64,50-64,Mosquée,Niveau 1 (débutant),100,0,100.0
ALP501341,2022,Souss-Massa,SOU,Tata,Urbain,Féminin,37,35-49,Association partenaire,Niveau 1 (débutant),146,1,87.3
ALP501342,2019,Casablanca-Settat,CAS,Casablanca,Urbain,Féminin,54,50-64,ONG,Niveau 1 (débutant),76,1,38.4
ALP501343,2018,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Féminin,46,35-49,Mosquée,Niveau 1 (débutant),51,1,73.9
ALP501344,2023,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Féminin,15,,Association partenaire,Niveau 2 (intermédiaire),71,1,56.7
ALP501345,2019,Souss-Massa,SOU,Tiznit,Rural,Féminin,52,50-64,Mosquée,Niveau 3 (avancé),86,1,45.9
ALP501346,2017,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Féminin,33,25-34,ANLCA,Niveau 1 (débutant),123,1,86.7
ALP501347,2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Masculin,22,15-24,ANLCA,Niveau 1 (débutant),99,0,67.2
ALP501348,2017,Drâa-Tafilalet,DRA,Tinghir,Rural,Féminin,23,15-24,Association partenaire,Niveau 3 (avancé),54,1,68.2
ALP501349,2023,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Féminin,46,35-49,ONG,Niveau 2 (intermédiaire),168,0,51.3
ALP501350,2022,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Féminin,63,50-64,Entreprise,Niveau 1 (débutant),95,1,80.9
ALP501351,2018,Rabat-Salé-Kénitra,RAB,Salé,Rural,Féminin,26,25-34,ONG,Niveau 3 (avancé),186,0,72.2
ALP501352,2017,Marrakech-Safi,MAR,Marrakech,Rural,Masculin,52,50-64,ANLCA,Niveau 2 (intermédiaire),69,0,62.5
ALP501353,2015,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Masculin,38,35-49,ANLCA,Niveau 1 (débutant),62,0,100.0
ALP501354,2022,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Féminin,39,35-49,ANLCA,Niveau 1 (débutant),187,0,88.1
ALP501355,2023,Oriental,ORI,Berkane,Urbain,Féminin,19,15-24,ONG,Niveau 1 (débutant),85,1,76.8
