id_etablissement,nom_etablissement,annee_scolaire,region,code_region,province,milieu,secteur,cycle,nb_classes,effectif_eleves,annee_creation,equipement_bibliotheque,equipement_laboratoire,equipement_salle_sport,acces_internet,cantine,latitude,longitude
ETB10411,École 121-CAS,2016-2017,Casablanca-Settat,CAS,Mohammadia,Urbain,Public,Primaire,12,256,1967,0,0,1,1,1,28.10909,-12.49713
ETB10412,École 466-CAS,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Rural,Public,Primaire,22,262,1997,1,0,1,1,1,32.23434,-5.91301
ETB10413,Lycée 328-TAN,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Public,Qualifiant,19,561,1994,1,1,0,1,0,31.57632,-2.3602
ETB10414,École 326-ORI,2019-2020,Oriental,ORI,Nador,Rural,Privé,Primaire,22,400,2013,0,0,0,1,1,29.40257,-2.79707
ETB10415,École 145-SOU,2018-2019,Souss-Massa,SOU,Tata,Rural,Public,Primaire,15,151,1986,0,0,1,1,1,30.8695,-4.56652
ETB10416,École 208-FES,2018-2019,Fès-Meknès,FES,Taounate,Rural,Public,Primaire,16,368,1981,1,0,1,0,1,28.4074,-12.40827
ETB10417,Jardin 404-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Public,Préscolaire,22,51,1993,0,0,1,1,1,35.87417,-8.11843
ETB10418,École 254-DRA,2023-2024,Drâa-Tafilalet,DRA,Midelt,Urbain,Public,Primaire,6,339,2015,0,0,1,1,0,35.00722,-2.00111
ETB10419,École 428-SOU,2022-2023,Souss-Massa,SOU,Tiznit,Rural,Public,Primaire,34,239,1996,0,1,1,0,1,30.60385,-10.26008
ETB10420,École 394-TAN,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Primaire,13,204,1976,1,1,1,1,0,32.1413,-11.48413
ETB10421,Collège 116-CAS,2019-2020,Casablanca-Settat,CAS,Berrechid,Rural,Privé,Collégial,34,489,1999,0,1,1,1,1,32.84723,-3.79739
ETB10422,Jardin 486-FES,2015-2016,Fès-Meknès,FES,Fès,Urbain,Public,Préscolaire,22,63,1968,0,0,1,1,0,28.56646,-1.4999
ETB10423,Lycée 337-FES,2015-2016,Fès-Meknès,FES,Taza,Rural,Privé,Qualifiant,34,444,2014,0,0,1,1,1,34.64006,-13.1371
ETB10424,Collège 266-CAS,2022-2023,Casablanca-Settat,CAS,Khouribga,Rural,Public,Collégial,15,331,2001,0,0,0,0,0,33.02037,-6.12084
ETB10425,Lycée 421-MAR,2019-2020,Marrakech-Safi,MAR,Essaouira,Rural,Public,Qualifiant,11,382,1989,1,0,0,0,0,35.23443,-7.44534
ETB10426,Lycée 85-CAS,2018-2019,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Qualifiant,29,245,2001,1,1,0,1,1,30.45891,-9.69157
ETB10427,Collège 329-CAS,2023-2024,Casablanca-Settat,CAS,Sidi Bennour,Rural,Privé,Collégial,18,373,1996,1,1,0,1,0,35.25943,-11.40163
ETB10428,Jardin 469-MAR,2019-2020,Marrakech-Safi,MAR,Youssoufia,Urbain,Privé,Préscolaire,17,38,2018,1,0,0,1,0,29.39381,-11.50867
ETB10429,École 142-DRA,2019-2020,Drâa-Tafilalet,DRA,Midelt,Rural,Privé,Primaire,26,261,1971,0,0,0,1,1,31.94905,-1.23244
ETB10430,Collège 190-MAR,2021-2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Public,Collégial,27,611,1961,1,0,1,1,0,32.48495,-4.18822
ETB10431,Collège 174-DRA,2020-2021,Drâa-Tafilalet,DRA,Tinghir,Rural,Privé,Collégial,5,352,1975,1,1,1,1,1,33.45774,-10.26188
ETB10432,Lycée 91-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Public,Qualifiant,34,382,2013,0,1,1,0,1,35.83663,-6.7716
ETB10433,Jardin 59-MAR,2021-2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Préscolaire,23,38,2021,0,0,0,1,0,28.28574,-12.23529
ETB10434,École 180-MAR,2015-2016,Marrakech-Safi,MAR,Essaouira,Urbain,Privé,Primaire,32,229,2005,0,0,0,1,1,32.30745,-3.99191
ETB10435,École 408-DRA,2015-2016,Drâa-Tafilalet,DRA,Midelt,Urbain,Public,Primaire,17,289,1962,0,0,0,0,1,32.46166,-4.13795
ETB10436,École 435-FES,2015-2016,Fès-Meknès,FES,Taza,Rural,Public,Primaire,21,249,2005,0,1,1,1,0,28.04725,-10.40883
ETB10437,École 71-MAR,2023-2024,Marrakech-Safi,MAR,Youssoufia,Urbain,Public,Primaire,11,195,1980,1,1,0,1,0,31.38626,-8.2688
ETB10438,Jardin 86-TAN,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Public,Préscolaire,7,75,1995,1,0,1,1,1,33.35141,-10.78515
ETB10439,Lycée 393-SOU,2022-2023,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Public,Qualifiant,14,331,2001,1,0,1,0,1,30.44953,-13.00495
ETB10440,École 165-BMK,2019-2020,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Public,Primaire,30,156,1971,0,1,0,0,1,34.25842,-12.81089
ETB10441,Lycée 391-CAS,2018-2019,Casablanca-Settat,CAS,Settat,Urbain,Public,Qualifiant,17,257,1972,1,0,1,1,1,35.33667,-10.926
ETB10442,Lycée 430-TAN,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Qualifiant,23,412,2012,1,1,0,1,0,30.07329,-12.85377
ETB10443,École 349-FES,2016-2017,Fès-Meknès,FES,Moulay Yacoub,Urbain,Privé,Primaire,27,424,1965,0,1,1,1,0,30.5752,-9.08826
ETB10444,École 95-CAS,2019-2020,Casablanca-Settat,CAS,El Jadida,Urbain,Privé,Primaire,4,424,2021,1,1,1,0,1,28.0591,-6.08064
ETB10445,École 494-CAS,2021-2022,Casablanca-Settat,CAS,El Jadida,Rural,Privé,Primaire,15,300,2000,0,0,0,1,0,34.46703,-12.2369
ETB10446,École 28-FES,2015-2016,Fès-Meknès,FES,Fès,Rural,Public,Primaire,30,365,1983,0,0,1,0,0,33.34048,-8.53242
ETB10447,École 301-TAN,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Public,Primaire,29,348,1978,1,1,0,1,0,33.28092,-5.78175
ETB10448,Jardin 33-DRA,2019-2020,Drâa-Tafilalet,DRA,Errachidia,Urbain,Public,Préscolaire,30,52,1988,1,1,0,1,0,35.50341,-6.89031
ETB10449,École 234-MAR,2019-2020,Marrakech-Safi,MAR,Al Haouz,Rural,Public,Primaire,24,322,2013,0,0,1,1,1,27.86505,-7.892
ETB10450,Collège 427-ORI,2018-2019,Oriental,ORI,Berkane,Rural,Public,Collégial,23,252,1988,0,0,1,0,0,32.523,-6.79121
ETB10451,Collège 282-RAB,2019-2020,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Privé,Collégial,26,329,1996,0,0,0,1,0,34.65388,-6.09162
ETB10452,École 56-CAS,2016-2017,Casablanca-Settat,CAS,Mohammadia,Rural,Public,Primaire,14,349,1967,1,0,1,0,0,35.45323,-1.68041
ETB10453,Collège 127-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Public,Collégial,33,560,1981,0,1,1,1,0,30.86127,-3.60649
ETB10454,École 307-TAN,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Public,Primaire,25,357,2003,1,0,1,0,1,34.30545,-8.09341
ETB10455,École 453-MAR,2015-2016,Marrakech-Safi,MAR,Safi,Urbain,Public,Primaire,14,367,1966,1,0,1,1,0,33.92809,-10.19426
ETB10456,Lycée 111-CAS,2019-2020,Casablanca-Settat,CAS,Mohammadia,Rural,Public,Qualifiant,17,328,1998,1,0,1,1,1,31.88119,-9.18295
ETB10457,École 151-CAS,2023-2024,Casablanca-Settat,CAS,Berrechid,Rural,Public,Primaire,7,367,2006,1,1,0,1,0,31.55204,-2.94301
ETB10458,École 366-MAR,2017-2018,Marrakech-Safi,MAR,Youssoufia,Rural,Public,Primaire,32,250,1997,1,0,0,1,0,33.24794,-2.40205
ETB10459,École 318-CAS,2016-2017,Casablanca-Settat,CAS,Khouribga,Urbain,Public,Primaire,25,404,2016,1,0,0,1,1,28.24262,-8.08028
ETB10460,Collège 403-MAR,2015-2016,Marrakech-Safi,MAR,Essaouira,Rural,Public,Collégial,30,434,2006,0,1,0,1,0,33.74536,-8.41068
ETB10461,Jardin 485-RAB,2016-2017,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Privé,Préscolaire,9,44,1982,1,1,1,1,0,28.71113,-4.60235
ETB10462,Collège 464-TAN,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Privé,Collégial,17,612,1981,0,0,1,1,0,35.12962,-4.38505
ETB10463,École 217-RAB,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Primaire,29,334,2000,0,0,0,1,0,33.01295,-3.50377
ETB10464,Collège 125-GUE,2020-2021,Guelmim-Oued Noun,GUE,Sidi Ifni,Rural,Public,Collégial,16,311,1969,1,1,1,1,1,32.72592,-11.03453
ETB10465,Collège 52-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Privé,Collégial,11,497,2017,0,0,0,0,0,27.79251,-6.34881
ETB10466,École 426-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Public,Primaire,4,391,1999,1,1,0,0,0,28.03722,-4.58092
ETB10467,OFPPT 428-CAS,2021-2022,Casablanca-Settat,CAS,Mohammadia,Urbain,Public,Formation Professionnelle,23,348,2003,0,1,0,1,0,32.31413,-12.83344
ETB10468,Collège 416-MAR,2021-2022,Marrakech-Safi,MAR,Essaouira,Urbain,Public,Collégial,21,409,1964,0,1,1,0,1,32.62988,-7.5944
ETB10469,Collège 168-MAR,2023-2024,Marrakech-Safi,MAR,Essaouira,Urbain,Privé,Collégial,3,377,1987,0,0,0,0,0,30.5578,-3.47208
ETB10470,École 422-CAS,2021-2022,Casablanca-Settat,CAS,Berrechid,Urbain,Privé,Primaire,31,289,2001,1,1,0,1,1,28.91771,-2.42284
ETB10471,École 8-LAA,2018-2019,Laâyoune-Sakia El Hamra,LAA,Boujdour,Rural,Public,Primaire,17,478,1991,1,0,0,1,1,33.12769,-5.42911
ETB10472,École 58-CAS,2020-2021,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,23,292,1988,0,0,1,0,0,30.05717,-4.26521
ETB10473,École 452-TAN,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Public,Primaire,28,251,2004,1,0,0,1,1,32.05061,-2.17511
ETB10474,Université 229-MAR,2020-2021,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Supérieur,8,2574,1984,0,0,1,1,1,35.23547,-6.47044
ETB10475,Lycée 354-MAR,2020-2021,Marrakech-Safi,MAR,Safi,Urbain,Public,Qualifiant,25,336,1968,1,0,1,1,1,32.98306,-7.70903
ETB10476,École 190-CAS,2019-2020,Casablanca-Settat,CAS,Benslimane,Rural,Public,Primaire,26,237,1975,1,0,0,1,1,32.37952,-8.05464
ETB10477,Jardin 499-TAN,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Public,Préscolaire,29,49,2007,1,1,0,1,0,30.83105,-12.85156
ETB10478,École 421-MAR,2021-2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Primaire,28,273,2019,1,0,1,0,1,27.7732,-5.28866
ETB10479,École 205-DRA,2017-2018,Drâa-Tafilalet,DRA,Errachidia,Urbain,Public,Primaire,31,139,1983,1,0,1,1,0,33.14986,-8.88504
ETB10480,École 174-CAS,2023-2024,Casablanca-Settat,CAS,Casablanca,Urbain,Privé,Primaire,7,471,2019,1,0,0,1,0,28.68271,-11.6791
ETB10481,École 273-DAK,2022-2023,Dakhla-Oued Eddahab,DAK,Dakhla,Urbain,Public,Primaire,13,463,1998,1,1,0,1,1,33.88101,-11.33641
ETB10482,École 266-ORI,2017-2018,Oriental,ORI,Jerada,Urbain,Privé,Primaire,14,364,1960,0,0,0,0,0,32.43061,-11.83515
ETB10483,École 72-ORI,2016-2017,Oriental,ORI,Guercif,Urbain,Public,Primaire,12,249,2015,1,0,1,1,1,28.52507,-4.04043
ETB10484,École 112-CAS,2020-2021,Casablanca-Settat,CAS,El Jadida,Rural,Public,Primaire,20,336,1960,1,0,1,1,1,33.24117,-10.55569
ETB10485,École 64-CAS,2018-2019,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,21,424,2010,1,1,1,1,0,29.82463,-11.34503
ETB10486,Lycée 70-CAS,2021-2022,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Privé,Qualifiant,28,337,1996,0,0,0,1,0,31.76669,-2.46681
ETB10487,École 27-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Public,Primaire,13,498,1976,1,0,1,1,0,29.24324,-6.01467
ETB10488,École 106-TAN,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Public,Primaire,22,465,1966,1,0,0,1,1,33.4349,-1.83845
ETB10489,École 273-DAK,2018-2019,Dakhla-Oued Eddahab,DAK,Aousserd,Rural,Public,Primaire,17,262,1971,1,0,1,1,1,29.92131,-10.74611
ETB10490,Université 60-CAS,2017-2018,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Supérieur,27,2328,1973,1,0,1,1,1,33.83973,-7.72202
ETB10491,Université 492-SOU,2018-2019,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Public,Supérieur,16,3078,1986,0,0,1,0,0,31.5421,-4.85468
ETB10492,École 23-MAR,2019-2020,Marrakech-Safi,MAR,Essaouira,Rural,Public,Primaire,10,339,1969,1,0,0,1,1,29.36513,-6.91611
ETB10493,École 167-RAB,2020-2021,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Primaire,14,325,2000,0,1,1,1,1,32.32152,-2.11829
ETB10494,Lycée 29-MAR,2023-2024,Marrakech-Safi,MAR,Chichaoua,Rural,Public,Qualifiant,14,500,2010,0,0,0,0,1,32.90109,-12.29776
ETB10495,École 41-FES,2017-2018,Fès-Meknès,FES,El Hajeb,Urbain,Public,Primaire,4,328,1964,0,0,0,0,0,29.84567,-12.326
ETB10496,Lycée 48-SOU,2022-2023,Souss-Massa,SOU,Tiznit,Urbain,Privé,Qualifiant,17,339,2003,1,0,0,1,1,28.77125,-4.34242
ETB10497,École 86-FES,2023-2024,Fès-Meknès,FES,Ifrane,Urbain,Privé,Primaire,20,320,2021,1,0,1,1,0,35.30339,-1.62371
ETB10498,Collège 331-TAN,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Privé,Collégial,3,518,2020,0,1,0,1,0,28.54168,-3.47656
ETB10499,Collège 358-CAS,2023-2024,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Collégial,14,388,2017,0,0,1,1,0,27.92872,-5.81212
ETB10500,Collège 165-TAN,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Public,Collégial,23,370,1999,0,0,1,1,0,30.454,-6.21945
ETB10501,Collège 324-CAS,2018-2019,Casablanca-Settat,CAS,Benslimane,Urbain,Public,Collégial,34,572,1968,0,0,1,1,1,33.70395,-8.60645
ETB10502,Collège 343-DRA,2019-2020,Drâa-Tafilalet,DRA,Errachidia,Urbain,Public,Collégial,30,215,1975,0,0,1,0,1,33.89257,-6.59247
ETB10503,Collège 9-FES,2018-2019,Fès-Meknès,FES,Moulay Yacoub,Urbain,Privé,Collégial,30,458,1962,1,0,0,1,1,32.42067,-7.2339
ETB10504,École 16-BMK,2022-2023,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Urbain,Public,Primaire,18,302,1980,1,0,1,0,0,32.46019,-5.54491
ETB10505,École 221-MAR,2022-2023,Marrakech-Safi,MAR,Safi,Urbain,Public,Primaire,30,387,2010,0,0,1,1,1,32.73571,-11.32089
ETB10506,Jardin 360-FES,2020-2021,Fès-Meknès,FES,Fès,Rural,Public,Préscolaire,24,63,1970,1,0,1,0,0,27.83293,-11.86416
ETB10507,École 70-CAS,2020-2021,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Primaire,28,398,1963,0,0,0,1,0,32.30155,-3.37164
ETB10508,École 137-FES,2020-2021,Fès-Meknès,FES,Boulemane,Rural,Public,Primaire,7,220,1994,1,1,1,1,1,33.40625,-8.03872
ETB10509,Lycée 163-MAR,2018-2019,Marrakech-Safi,MAR,Al Haouz,Urbain,Privé,Qualifiant,6,361,1964,1,1,1,0,1,29.0132,-3.56963
ETB10510,Collège 111-SOU,2022-2023,Souss-Massa,SOU,Tiznit,Urbain,Privé,Collégial,29,392,1982,1,0,0,1,1,29.97417,-12.73696
ETB10511,Lycée 386-DRA,2022-2023,Drâa-Tafilalet,DRA,Midelt,Urbain,Public,Qualifiant,26,564,1996,0,1,1,1,0,29.49944,-7.83823
ETB10512,École 250-CAS,2019-2020,Casablanca-Settat,CAS,Berrechid,Rural,Privé,Primaire,4,165,2013,0,1,1,1,0,29.32627,-9.8372
ETB10513,Université 27-RAB,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Privé,Supérieur,21,2330,1968,1,0,0,0,0,31.63199,-8.51812
ETB10514,École 459-DRA,2022-2023,Drâa-Tafilalet,DRA,Ouarzazate,Urbain,Public,Primaire,16,284,1983,0,1,0,0,1,34.96341,-8.52863
ETB10515,École 285-RAB,2018-2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Primaire,13,333,2000,1,0,1,1,1,31.11374,-9.63397
ETB10516,OFPPT 96-MAR,2021-2022,Marrakech-Safi,MAR,Marrakech,Urbain,Public,Formation Professionnelle,28,408,2008,1,0,1,0,0,32.94289,-6.14487
ETB10517,École 98-CAS,2022-2023,Casablanca-Settat,CAS,Casablanca,Urbain,Public,Primaire,12,350,1992,0,1,1,1,1,34.1518,-2.20222
ETB10518,Collège 439-CAS,2017-2018,Casablanca-Settat,CAS,Khouribga,Urbain,Public,Collégial,22,443,2016,1,0,0,1,0,31.61412,-1.09559
ETB10519,École 392-MAR,2018-2019,Marrakech-Safi,MAR,Essaouira,Urbain,Public,Primaire,8,179,1985,1,1,1,0,1,28.67862,-6.83894
ETB10520,École 239-CAS,2023-2024,Casablanca-Settat,CAS,Khouribga,Rural,Public,Primaire,21,431,1978,0,0,1,1,1,32.24621,-1.28292
ETB10521,Jardin 98-CAS,2020-2021,Casablanca-Settat,CAS,Khouribga,Rural,Public,Préscolaire,25,61,1973,1,1,0,0,0,29.89076,-10.38325
ETB10522,École 140-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Public,Primaire,13,286,1998,1,1,0,0,0,33.09526,-10.78035
ETB10523,École 459-CAS,2015-2016,Casablanca-Settat,CAS,Casablanca,Urbain,Public,Primaire,5,234,1963,0,1,0,1,0,33.46553,-8.80112
ETB10524,Lycée 362-ORI,2020-2021,Oriental,ORI,Berkane,Urbain,Public,Qualifiant,9,480,1960,0,1,1,1,0,28.74833,-12.76528
ETB10525,École 457-TAN,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Public,Primaire,12,390,2013,1,0,0,1,0,35.18124,-10.92744
ETB10526,École 462-MAR,2022-2023,Marrakech-Safi,MAR,Youssoufia,Rural,Privé,Primaire,3,358,1975,0,1,0,1,0,27.96563,-6.20262
ETB10527,Lycée 447-MAR,2015-2016,Marrakech-Safi,MAR,Youssoufia,Urbain,Public,Qualifiant,27,353,2001,1,0,1,1,0,31.60695,-3.24161
ETB10528,École 114-MAR,2016-2017,Marrakech-Safi,MAR,Al Haouz,Urbain,Public,Primaire,4,360,1966,1,1,1,1,1,31.41088,-12.67069
ETB10529,École 128-CAS,2019-2020,Casablanca-Settat,CAS,Settat,Rural,Public,Primaire,6,333,1988,1,1,0,1,0,34.65853,-13.16357
ETB10530,École 361-CAS,2022-2023,Casablanca-Settat,CAS,Settat,Rural,Public,Primaire,25,369,1995,1,1,1,0,0,30.95687,-3.82819
ETB10531,École 10-RAB,2020-2021,Rabat-Salé-Kénitra,RAB,Salé,Rural,Privé,Primaire,12,229,2006,0,1,1,0,0,29.2542,-3.5793
ETB10532,OFPPT 8-CAS,2016-2017,Casablanca-Settat,CAS,Khouribga,Urbain,Privé,Formation Professionnelle,25,367,1963,1,0,0,1,1,29.77147,-4.86589
ETB10533,Collège 103-CAS,2016-2017,Casablanca-Settat,CAS,Berrechid,Urbain,Privé,Collégial,12,571,1999,1,0,1,1,1,30.07307,-8.93783
ETB10534,Collège 193-ORI,2020-2021,Oriental,ORI,Guercif,Urbain,Public,Collégial,27,512,1975,1,0,0,1,0,29.50745,-11.41402
ETB10535,École 289-DRA,2022-2023,Drâa-Tafilalet,DRA,Tinghir,Urbain,Privé,Primaire,7,289,1980,1,1,1,1,1,34.60884,-7.28017
ETB10536,Université 201-CAS,2020-2021,Casablanca-Settat,CAS,Settat,Rural,Privé,Supérieur,25,2596,2013,1,1,1,0,0,35.84567,-3.01628
ETB10537,Collège 351-FES,2019-2020,Fès-Meknès,FES,Taza,Urbain,Public,Collégial,33,644,2006,1,1,1,1,1,31.33903,-9.69105
ETB10538,École 54-FES,2023-2024,Fès-Meknès,FES,Fès,Urbain,Public,Primaire,32,499,1999,0,1,0,0,1,30.18008,-1.322
ETB10539,École 295-CAS,2020-2021,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Privé,Primaire,21,219,1999,0,1,0,1,0,35.86889,-2.37146
ETB10540,Collège 382-MAR,2022-2023,Marrakech-Safi,MAR,Essaouira,Rural,Public,Collégial,26,421,2011,1,0,1,1,1,32.92579,-13.10033
ETB10541,Lycée 19-TAN,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Public,Qualifiant,34,432,1960,0,0,0,1,0,33.85262,-2.68082
ETB10542,École 349-CAS,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Rural,Public,Primaire,22,303,2014,0,1,0,0,0,31.44333,-5.01408
ETB10543,École 458-FES,2015-2016,Fès-Meknès,FES,Fès,Rural,Public,Primaire,31,300,1963,1,0,0,0,0,34.68964,-6.42622
ETB10544,École 98-DRA,2022-2023,Drâa-Tafilalet,DRA,Zagora,Urbain,Public,Primaire,29,368,1968,1,1,0,1,1,31.77769,-11.79325
ETB10545,Université 151-CAS,2017-2018,Casablanca-Settat,CAS,Khouribga,Urbain,Public,Supérieur,11,2913,2004,1,1,1,1,1,30.41409,-1.42946
ETB10546,Collège 179-BMK,2023-2024,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Public,Collégial,6,546,1980,1,1,1,0,0,31.78959,-1.83933
ETB10547,École 492-FES,2017-2018,Fès-Meknès,FES,Taza,Urbain,Public,Primaire,20,381,2013,0,0,0,1,0,30.38386,-4.0276
ETB10548,Collège 334-FES,2022-2023,Fès-Meknès,FES,Meknès,Urbain,Privé,Collégial,3,411,2003,0,0,0,1,0,32.54104,-5.10838
ETB10549,École 276-CAS,2018-2019,Casablanca-Settat,CAS,Sidi Bennour,Rural,Public,Primaire,20,250,2001,1,1,1,0,0,32.72579,-11.74713
ETB10550,École 65-BMK,2021-2022,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Public,Primaire,20,356,1985,1,0,0,0,1,31.08504,-8.32537
ETB10551,École 236-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Primaire,13,285,2016,0,0,0,1,0,35.03243,-13.11287
ETB10552,OFPPT 293-BMK,2019-2020,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Privé,Formation Professionnelle,18,355,2009,1,0,1,0,1,29.37343,-11.90712
ETB10553,Collège 345-GUE,2017-2018,Guelmim-Oued Noun,GUE,Assa-Zag,Urbain,Public,Collégial,30,484,2009,0,1,1,0,1,32.43247,-11.7345
ETB10554,École 489-TAN,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Public,Primaire,30,401,1989,1,1,0,1,0,34.22171,-8.47692
ETB10555,École 14-MAR,2015-2016,Marrakech-Safi,MAR,Youssoufia,Rural,Public,Primaire,5,295,1999,1,0,1,1,0,31.34647,-12.19601
ETB10556,École 355-TAN,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Public,Primaire,25,281,1961,1,0,0,0,0,27.79491,-1.82036
ETB10557,Collège 377-SOU,2019-2020,Souss-Massa,SOU,Taroudannt,Rural,Public,Collégial,8,541,1966,0,0,0,0,0,34.79177,-10.2846
ETB10558,École 221-RAB,2019-2020,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Public,Primaire,15,364,2002,0,0,1,0,0,31.00896,-1.20425
ETB10559,École 95-FES,2019-2020,Fès-Meknès,FES,Séfrou,Urbain,Privé,Primaire,16,343,1967,1,1,0,0,1,34.36359,-3.37439
ETB10560,École 216-CAS,2016-2017,Casablanca-Settat,CAS,Casablanca,Rural,Public,Primaire,10,434,2003,0,0,1,1,0,35.19185,-11.31836
ETB10561,Jardin 483-ORI,2016-2017,Oriental,ORI,Taourirt,Rural,Public,Préscolaire,20,58,1967,0,1,1,0,0,30.93998,-3.19007
ETB10562,Lycée 31-LAA,2015-2016,Laâyoune-Sakia El Hamra,LAA,Es-Semara,Urbain,Public,Qualifiant,4,347,1974,1,1,1,1,0,34.45782,-3.27736
ETB10563,Lycée 284-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Public,Qualifiant,3,330,1980,0,1,1,1,1,28.31468,-4.37834
ETB10564,Collège 208-ORI,2022-2023,Oriental,ORI,Jerada,Urbain,Public,Collégial,13,411,1960,1,1,0,1,1,30.62781,-12.53861
ETB10565,Lycée 75-MAR,2020-2021,Marrakech-Safi,MAR,Marrakech,Urbain,Public,Qualifiant,27,496,1997,1,0,1,1,0,32.60048,-4.48462
ETB10566,Université 381-CAS,2016-2017,Casablanca-Settat,CAS,Settat,Rural,Public,Supérieur,7,2074,2001,1,1,1,0,1,31.90145,-2.98266
ETB10567,École 310-FES,2016-2017,Fès-Meknès,FES,Fès,Rural,Public,Primaire,31,374,1988,1,0,1,1,0,30.78655,-4.09891
ETB10568,École 111-FES,2018-2019,Fès-Meknès,FES,Boulemane,Urbain,Privé,Primaire,11,388,1980,0,0,1,1,0,33.8914,-9.78463
ETB10569,École 67-CAS,2020-2021,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,13,252,2012,0,1,1,0,0,33.55706,-2.12752
ETB10570,École 402-FES,2018-2019,Fès-Meknès,FES,Boulemane,Urbain,Public,Primaire,26,386,1961,0,0,0,0,0,30.4913,-5.99142
ETB10571,École 463-CAS,2023-2024,Casablanca-Settat,CAS,Benslimane,Urbain,Public,Primaire,21,216,1998,1,1,0,1,1,28.09636,-4.49543
ETB10572,Collège 333-FES,2021-2022,Fès-Meknès,FES,Fès,Urbain,Privé,Collégial,14,495,1991,1,0,1,1,0,29.89841,-8.2651
ETB10573,École 64-RAB,2015-2016,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Public,Primaire,12,230,2006,1,1,1,1,1,34.4814,-9.27176
ETB10574,Collège 83-DRA,2015-2016,Drâa-Tafilalet,DRA,Errachidia,Urbain,Privé,Collégial,14,458,1996,0,0,0,1,0,34.28177,-2.95411
