id_abandon,annee_scolaire,region,code_region,province,milieu,cycle,niveau_classe,genre,age_abandon,motif_principal,distance_etablissement,revenu_menage_mensuel,nb_enfants_menage,parent_analphabete,retour_ecole
AB400920,2020-2021,Marrakech-Safi,MAR,Chichaoua,Rural,Primaire,Année 6,Masculin,9,Éloignement de l'établissement,< 1 km,4000-7000 MAD,3,0,0
AB400921,2016-2017,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Primaire,Année 1,Féminin,7,Travail enfant,< 1 km,2000-4000 MAD,1,1,0
AB400922,2018-2019,Casablanca-Settat,CAS,Benslimane,Rural,Primaire,Année 4,Masculin,11,Difficultés scolaires,< 1 km,> 7000 MAD,4,1,0
AB400923,2016-2017,Marrakech-Safi,MAR,Safi,Rural,Qualifiant,Année 1,Masculin,18,Mariage précoce,1–5 km,> 7000 MAD,2,1,0
AB400924,2015-2016,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Primaire,Année 6,Masculin,12,Manque d'infrastructures,5–15 km,2000-4000 MAD,7,0,0
AB400925,2020-2021,Marrakech-Safi,MAR,Marrakech,Urbain,Primaire,Année 3,Féminin,9,Travail enfant,1–5 km,2000-4000 MAD,6,1,0
AB400926,2019-2020,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Qualifiant,Année 3,Masculin,18,Difficultés économiques,< 1 km,< 2000 MAD,8,0,0
AB400927,2017-2018,Casablanca-Settat,CAS,Mohammadia,Rural,Primaire,Année 5,Féminin,8,Travail enfant,5–15 km,< 2000 MAD,6,1,0
AB400928,2016-2017,Fès-Meknès,FES,Ifrane,Rural,Collégial,Année 2,Féminin,15,Mariage précoce,1–5 km,2000-4000 MAD,3,1,0
AB400929,2022-2023,Casablanca-Settat,CAS,Mohammadia,Urbain,Primaire,Année 5,Féminin,8,Difficultés économiques,1–5 km,4000-7000 MAD,3,0,0
AB400930,2019-2020,Oriental,ORI,Taourirt,Rural,Qualifiant,Année 3,Masculin,16,Éloignement de l'établissement,5–15 km,2000-4000 MAD,6,1,0
AB400931,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Qualifiant,Année 1,Féminin,16,Éloignement de l'établissement,1–5 km,< 2000 MAD,7,0,1
AB400932,2018-2019,Fès-Meknès,FES,Moulay Yacoub,Urbain,Qualifiant,Année 1,Masculin,16,Grossesse,5–15 km,> 7000 MAD,6,0,0
AB400933,2018-2019,Oriental,ORI,Nador,Rural,Collégial,Année 1,Masculin,15,Mariage précoce,> 15 km,2000-4000 MAD,7,1,0
AB400934,2019-2020,Fès-Meknès,FES,Taounate,Urbain,Primaire,Année 5,Masculin,11,Mariage précoce,1–5 km,2000-4000 MAD,6,0,1
AB400935,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Primaire,Année 6,Masculin,11,Travail enfant,5–15 km,2000-4000 MAD,1,1,1
AB400936,2019-2020,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Collégial,Année 3,Féminin,14,Manque d'infrastructures,1–5 km,2000-4000 MAD,5,0,1
AB400937,2017-2018,Casablanca-Settat,CAS,Casablanca,Urbain,Primaire,Année 2,Masculin,12,Travail enfant,< 1 km,> 7000 MAD,4,1,1
AB400938,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Qualifiant,Année 2,Masculin,18,Éloignement de l'établissement,1–5 km,2000-4000 MAD,1,1,0
AB400939,2018-2019,Marrakech-Safi,MAR,Chichaoua,Urbain,Qualifiant,Année 1,Féminin,17,Difficultés économiques,5–15 km,< 2000 MAD,8,1,0
AB400940,2019-2020,Casablanca-Settat,CAS,Mohammadia,Urbain,Collégial,Année 1,Masculin,14,Manque d'infrastructures,< 1 km,> 7000 MAD,3,0,0
AB400941,2023-2024,Drâa-Tafilalet,DRA,Zagora,Urbain,Collégial,Année 3,Masculin,15,Difficultés économiques,< 1 km,< 2000 MAD,8,1,0
AB400942,2023-2024,Casablanca-Settat,CAS,Berrechid,Rural,Primaire,Année 1,Masculin,11,Autre,< 1 km,2000-4000 MAD,7,1,1
AB400943,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Qualifiant,Année 2,Féminin,18,Mariage précoce,> 15 km,> 7000 MAD,8,1,0
AB400944,2016-2017,Fès-Meknès,FES,Taounate,Urbain,Primaire,Année 3,Masculin,11,Difficultés économiques,< 1 km,2000-4000 MAD,2,1,0
AB400945,2017-2018,Casablanca-Settat,CAS,Khouribga,Rural,Primaire,Année 3,Féminin,9,Travail enfant,< 1 km,2000-4000 MAD,7,1,0
AB400946,2018-2019,Fès-Meknès,FES,Taounate,Urbain,Primaire,Année 6,Féminin,9,Mariage précoce,5–15 km,< 2000 MAD,5,1,0
AB400947,2023-2024,Casablanca-Settat,CAS,Benslimane,Urbain,Collégial,Année 1,Féminin,13,Difficultés économiques,< 1 km,> 7000 MAD,4,1,1
AB400948,2021-2022,Marrakech-Safi,MAR,Chichaoua,Rural,Primaire,Année 6,Masculin,12,Travail enfant,1–5 km,2000-4000 MAD,6,1,0
AB400949,2021-2022,Casablanca-Settat,CAS,Settat,Urbain,Collégial,Année 2,Masculin,13,Éloignement de l'établissement,1–5 km,2000-4000 MAD,1,0,0
AB400950,2020-2021,Fès-Meknès,FES,El Hajeb,Urbain,Qualifiant,Année 2,Masculin,17,Travail enfant,5–15 km,> 7000 MAD,6,0,0
AB400951,2022-2023,Casablanca-Settat,CAS,Benslimane,Urbain,Collégial,Année 3,Masculin,14,Éloignement de l'établissement,5–15 km,4000-7000 MAD,3,0,1
AB400952,2019-2020,Casablanca-Settat,CAS,Khouribga,Rural,Primaire,Année 3,Masculin,8,Manque d'infrastructures,< 1 km,4000-7000 MAD,8,1,0
AB400953,2015-2016,Guelmim-Oued Noun,GUE,Tan-Tan,Rural,Primaire,Année 4,Masculin,11,Manque d'infrastructures,5–15 km,< 2000 MAD,1,1,0
AB400954,2023-2024,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Qualifiant,Année 3,Féminin,16,Autre,< 1 km,< 2000 MAD,6,1,1
AB400955,2018-2019,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Qualifiant,Année 3,Masculin,17,Mariage précoce,1–5 km,< 2000 MAD,6,1,0
AB400956,2017-2018,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Qualifiant,Année 1,Masculin,16,Difficultés économiques,5–15 km,< 2000 MAD,1,1,0
AB400957,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Qualifiant,Année 2,Masculin,18,Difficultés économiques,< 1 km,4000-7000 MAD,6,0,0
AB400958,2018-2019,Souss-Massa,SOU,Tata,Urbain,Primaire,Année 4,Féminin,8,Difficultés scolaires,> 15 km,4000-7000 MAD,5,1,0
AB400959,2022-2023,Fès-Meknès,FES,Taounate,Rural,Qualifiant,Année 2,Féminin,16,Difficultés scolaires,< 1 km,< 2000 MAD,7,0,0
AB400960,2017-2018,Casablanca-Settat,CAS,El Jadida,Rural,Collégial,Année 2,Masculin,14,Difficultés scolaires,5–15 km,2000-4000 MAD,4,1,0
AB400961,2019-2020,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Collégial,Année 2,Féminin,15,Travail enfant,1–5 km,< 2000 MAD,4,1,0
AB400962,2022-2023,Drâa-Tafilalet,DRA,Ouarzazate,Urbain,Qualifiant,Année 1,Féminin,16,Difficultés économiques,1–5 km,< 2000 MAD,2,1,0
AB400963,2021-2022,Marrakech-Safi,MAR,Marrakech,Urbain,Collégial,Année 2,Masculin,14,Éloignement de l'établissement,5–15 km,< 2000 MAD,3,1,0
AB400964,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Primaire,Année 5,Masculin,11,Difficultés économiques,5–15 km,2000-4000 MAD,1,0,0
AB400965,2021-2022,Marrakech-Safi,MAR,Essaouira,Rural,Primaire,Année 4,Masculin,7,Éloignement de l'établissement,> 15 km,2000-4000 MAD,5,1,0
AB400966,2022-2023,Drâa-Tafilalet,DRA,Tinghir,Rural,Collégial,Année 2,Féminin,14,Difficultés scolaires,< 1 km,< 2000 MAD,3,1,1
AB400967,2018-2019,Souss-Massa,SOU,Tata,Rural,Qualifiant,Année 2,Féminin,17,Manque d'infrastructures,> 15 km,2000-4000 MAD,3,0,0
AB400968,2016-2017,Fès-Meknès,FES,Taounate,Rural,Qualifiant,Année 3,Masculin,17,Éloignement de l'établissement,< 1 km,< 2000 MAD,5,1,0
AB400969,2022-2023,Oriental,ORI,Guercif,Rural,Collégial,Année 3,Masculin,14,Travail enfant,< 1 km,< 2000 MAD,7,1,1
AB400970,2018-2019,Souss-Massa,SOU,Taroudannt,Urbain,Primaire,Année 3,Masculin,11,Travail enfant,1–5 km,< 2000 MAD,2,0,0
AB400971,2018-2019,Oriental,ORI,Oujda-Angad,Urbain,Qualifiant,Année 2,Masculin,16,Mariage précoce,5–15 km,< 2000 MAD,4,1,0
AB400972,2020-2021,Fès-Meknès,FES,El Hajeb,Urbain,Collégial,Année 2,Féminin,14,Difficultés économiques,> 15 km,< 2000 MAD,8,0,1
AB400973,2016-2017,Fès-Meknès,FES,Séfrou,Rural,Primaire,Année 2,Féminin,12,Difficultés économiques,1–5 km,4000-7000 MAD,8,1,0
AB400974,2018-2019,Casablanca-Settat,CAS,Benslimane,Rural,Collégial,Année 2,Féminin,13,Manque d'infrastructures,< 1 km,4000-7000 MAD,4,1,1
AB400975,2018-2019,Souss-Massa,SOU,Tiznit,Rural,Primaire,Année 1,Masculin,10,Mariage précoce,1–5 km,> 7000 MAD,2,0,0
AB400976,2020-2021,Laâyoune-Sakia El Hamra,LAA,Es-Semara,Rural,Collégial,Année 3,Féminin,14,Travail enfant,1–5 km,< 2000 MAD,2,1,0
AB400977,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Rural,Collégial,Année 1,Masculin,15,Difficultés scolaires,5–15 km,> 7000 MAD,1,0,0
AB400978,2022-2023,Souss-Massa,SOU,Tiznit,Urbain,Qualifiant,Année 3,Masculin,18,Grossesse,> 15 km,2000-4000 MAD,2,1,0
AB400979,2018-2019,Casablanca-Settat,CAS,El Jadida,Rural,Primaire,Année 5,Masculin,11,Travail enfant,> 15 km,> 7000 MAD,3,0,0
AB400980,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Primaire,Année 2,Féminin,8,Difficultés économiques,< 1 km,2000-4000 MAD,4,1,1
AB400981,2019-2020,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Collégial,Année 3,Masculin,15,Difficultés économiques,5–15 km,< 2000 MAD,8,0,1
AB400982,2016-2017,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Qualifiant,Année 1,Masculin,16,Grossesse,> 15 km,4000-7000 MAD,4,1,0
AB400983,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Collégial,Année 2,Féminin,14,Manque d'infrastructures,1–5 km,2000-4000 MAD,1,1,0
AB400984,2016-2017,Casablanca-Settat,CAS,El Jadida,Urbain,Collégial,Année 3,Masculin,15,Grossesse,> 15 km,> 7000 MAD,7,0,0
AB400985,2017-2018,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Collégial,Année 2,Masculin,14,Éloignement de l'établissement,> 15 km,< 2000 MAD,5,0,0
AB400986,2021-2022,Marrakech-Safi,MAR,Safi,Rural,Qualifiant,Année 2,Féminin,16,Difficultés scolaires,< 1 km,2000-4000 MAD,4,1,0
AB400987,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Collégial,Année 3,Masculin,13,Difficultés scolaires,5–15 km,2000-4000 MAD,2,0,0
AB400988,2019-2020,Fès-Meknès,FES,Boulemane,Urbain,Primaire,Année 2,Féminin,10,Difficultés économiques,1–5 km,> 7000 MAD,1,0,0
AB400989,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Qualifiant,Année 2,Masculin,16,Difficultés économiques,> 15 km,< 2000 MAD,3,1,1
AB400990,2017-2018,Marrakech-Safi,MAR,Essaouira,Rural,Collégial,Année 2,Féminin,13,Grossesse,1–5 km,< 2000 MAD,2,1,0
AB400991,2018-2019,Marrakech-Safi,MAR,Safi,Urbain,Collégial,Année 1,Masculin,15,Difficultés économiques,5–15 km,4000-7000 MAD,7,0,1
AB400992,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Primaire,Année 3,Masculin,9,Difficultés économiques,< 1 km,< 2000 MAD,5,1,1
AB400993,2019-2020,Casablanca-Settat,CAS,Mohammadia,Rural,Qualifiant,Année 3,Masculin,18,Difficultés économiques,< 1 km,> 7000 MAD,8,0,1
AB400994,2020-2021,Marrakech-Safi,MAR,Youssoufia,Urbain,Collégial,Année 2,Masculin,15,Difficultés scolaires,> 15 km,2000-4000 MAD,2,1,0
AB400995,2019-2020,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Qualifiant,Année 2,Masculin,16,Travail enfant,5–15 km,2000-4000 MAD,6,0,0
AB400996,2016-2017,Casablanca-Settat,CAS,El Jadida,Rural,Qualifiant,Année 1,Masculin,18,Difficultés économiques,1–5 km,2000-4000 MAD,1,0,1
AB400997,2020-2021,Drâa-Tafilalet,DRA,Ouarzazate,Rural,Primaire,Année 4,Féminin,11,Mariage précoce,1–5 km,2000-4000 MAD,4,0,1
AB400998,2018-2019,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Primaire,Année 6,Masculin,10,Difficultés économiques,< 1 km,4000-7000 MAD,3,1,0
AB400999,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Qualifiant,Année 1,Masculin,18,Difficultés économiques,< 1 km,< 2000 MAD,2,0,0
AB401000,2019-2020,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Primaire,Année 1,Masculin,12,Handicap,5–15 km,< 2000 MAD,2,0,1
AB401001,2017-2018,Fès-Meknès,FES,Boulemane,Rural,Collégial,Année 3,Masculin,14,Manque d'infrastructures,1–5 km,> 7000 MAD,1,1,0
AB401002,2023-2024,Casablanca-Settat,CAS,Benslimane,Rural,Qualifiant,Année 2,Féminin,18,Travail enfant,5–15 km,2000-4000 MAD,5,0,0
AB401003,2022-2023,Souss-Massa,SOU,Taroudannt,Rural,Qualifiant,Année 1,Masculin,17,Difficultés économiques,> 15 km,4000-7000 MAD,2,0,1
AB401004,2022-2023,Casablanca-Settat,CAS,Benslimane,Rural,Collégial,Année 3,Féminin,15,Travail enfant,< 1 km,4000-7000 MAD,5,1,0
AB401005,2016-2017,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Qualifiant,Année 3,Féminin,18,Autre,1–5 km,< 2000 MAD,1,1,0
AB401006,2023-2024,Oriental,ORI,Nador,Urbain,Qualifiant,Année 1,Féminin,18,Éloignement de l'établissement,< 1 km,4000-7000 MAD,3,1,0
AB401007,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Collégial,Année 2,Masculin,15,Travail enfant,5–15 km,4000-7000 MAD,1,1,0
AB401008,2019-2020,Béni Mellal-Khénifra,BMK,Azilal,Rural,Primaire,Année 5,Féminin,7,Éloignement de l'établissement,5–15 km,4000-7000 MAD,4,1,1
AB401009,2018-2019,Marrakech-Safi,MAR,Al Haouz,Urbain,Collégial,Année 2,Féminin,14,Éloignement de l'établissement,> 15 km,2000-4000 MAD,6,1,0
AB401010,2018-2019,Souss-Massa,SOU,Taroudannt,Rural,Primaire,Année 3,Masculin,7,Manque d'infrastructures,< 1 km,2000-4000 MAD,8,1,0
AB401011,2019-2020,Marrakech-Safi,MAR,Safi,Rural,Qualifiant,Année 2,Masculin,18,Difficultés scolaires,5–15 km,4000-7000 MAD,6,1,0
AB401012,2023-2024,Souss-Massa,SOU,Taroudannt,Urbain,Primaire,Année 6,Féminin,9,Difficultés économiques,5–15 km,< 2000 MAD,8,1,0
AB401013,2022-2023,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Qualifiant,Année 2,Féminin,16,Difficultés scolaires,1–5 km,2000-4000 MAD,6,0,0
AB401014,2015-2016,Oriental,ORI,Figuig,Rural,Primaire,Année 1,Féminin,10,Travail enfant,< 1 km,2000-4000 MAD,6,1,0
AB401015,2016-2017,Casablanca-Settat,CAS,El Jadida,Urbain,Collégial,Année 3,Masculin,13,Difficultés économiques,1–5 km,4000-7000 MAD,2,1,0
AB401016,2016-2017,Marrakech-Safi,MAR,Chichaoua,Urbain,Qualifiant,Année 3,Masculin,18,Handicap,1–5 km,2000-4000 MAD,2,0,1
AB401017,2022-2023,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Qualifiant,Année 1,Masculin,17,Difficultés scolaires,1–5 km,2000-4000 MAD,1,1,0
AB401018,2016-2017,Souss-Massa,SOU,Tiznit,Rural,Qualifiant,Année 3,Féminin,16,Difficultés scolaires,< 1 km,2000-4000 MAD,7,1,0
AB401019,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Primaire,Année 4,Masculin,9,Mariage précoce,> 15 km,2000-4000 MAD,3,0,0
AB401020,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Primaire,Année 4,Masculin,12,Difficultés économiques,< 1 km,< 2000 MAD,2,0,1
AB401021,2016-2017,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Primaire,Année 5,Féminin,12,Difficultés scolaires,5–15 km,2000-4000 MAD,3,0,1
AB401022,2022-2023,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Collégial,Année 1,Masculin,14,Éloignement de l'établissement,5–15 km,< 2000 MAD,1,0,0
AB401023,2023-2024,Fès-Meknès,FES,Ifrane,Urbain,Primaire,Année 3,Masculin,7,Travail enfant,5–15 km,2000-4000 MAD,8,1,0
AB401024,2023-2024,Oriental,ORI,Oujda-Angad,Rural,Qualifiant,Année 2,Masculin,17,Difficultés scolaires,1–5 km,4000-7000 MAD,7,1,0
AB401025,2019-2020,Drâa-Tafilalet,DRA,Tinghir,Urbain,Collégial,Année 2,Féminin,15,Mariage précoce,> 15 km,< 2000 MAD,1,1,0
AB401026,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Collégial,Année 3,Masculin,15,Difficultés scolaires,1–5 km,2000-4000 MAD,7,1,0
AB401027,2022-2023,Dakhla-Oued Eddahab,DAK,Aousserd,Rural,Primaire,Année 6,Masculin,10,Difficultés économiques,1–5 km,2000-4000 MAD,7,1,1
AB401028,2015-2016,Oriental,ORI,Taourirt,Urbain,Collégial,Année 2,Masculin,14,Difficultés économiques,1–5 km,< 2000 MAD,6,0,0
AB401029,2022-2023,Casablanca-Settat,CAS,Berrechid,Urbain,Collégial,Année 2,Masculin,13,Travail enfant,5–15 km,4000-7000 MAD,8,1,0
AB401030,2021-2022,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Collégial,Année 1,Masculin,15,Mariage précoce,< 1 km,> 7000 MAD,2,1,0
AB401031,2021-2022,Marrakech-Safi,MAR,Marrakech,Rural,Primaire,Année 3,Masculin,11,Éloignement de l'établissement,> 15 km,< 2000 MAD,8,1,0
AB401032,2023-2024,Oriental,ORI,Oujda-Angad,Rural,Qualifiant,Année 1,Féminin,16,Autre,< 1 km,< 2000 MAD,8,0,0
AB401033,2023-2024,Drâa-Tafilalet,DRA,Midelt,Rural,Collégial,Année 3,Féminin,13,Difficultés scolaires,1–5 km,< 2000 MAD,2,0,1
AB401034,2018-2019,Marrakech-Safi,MAR,Safi,Urbain,Qualifiant,Année 1,Masculin,16,Éloignement de l'établissement,< 1 km,< 2000 MAD,5,1,0
AB401035,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Primaire,Année 5,Féminin,11,Travail enfant,1–5 km,4000-7000 MAD,6,0,0
AB401036,2022-2023,Marrakech-Safi,MAR,Al Haouz,Urbain,Qualifiant,Année 1,Masculin,16,Difficultés scolaires,1–5 km,2000-4000 MAD,3,1,1
AB401037,2017-2018,Casablanca-Settat,CAS,Settat,Urbain,Qualifiant,Année 3,Féminin,18,Éloignement de l'établissement,5–15 km,< 2000 MAD,5,1,0
AB401038,2022-2023,Marrakech-Safi,MAR,Youssoufia,Urbain,Collégial,Année 2,Masculin,13,Mariage précoce,1–5 km,< 2000 MAD,5,0,1
AB401039,2017-2018,Casablanca-Settat,CAS,Settat,Rural,Qualifiant,Année 2,Masculin,17,Difficultés économiques,5–15 km,2000-4000 MAD,6,0,0
AB401040,2015-2016,Fès-Meknès,FES,Séfrou,Urbain,Primaire,Année 4,Masculin,9,Éloignement de l'établissement,1–5 km,2000-4000 MAD,3,0,0
AB401041,2021-2022,Fès-Meknès,FES,El Hajeb,Rural,Primaire,Année 5,Masculin,10,Difficultés scolaires,1–5 km,> 7000 MAD,4,1,0
AB401042,2022-2023,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Qualifiant,Année 2,Féminin,18,Difficultés économiques,< 1 km,> 7000 MAD,1,1,1
AB401043,2017-2018,Fès-Meknès,FES,Moulay Yacoub,Rural,Qualifiant,Année 1,Féminin,16,Grossesse,< 1 km,< 2000 MAD,7,1,0
AB401044,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Collégial,Année 2,Masculin,14,Autre,1–5 km,< 2000 MAD,8,1,1
AB401045,2020-2021,Oriental,ORI,Figuig,Urbain,Collégial,Année 3,Féminin,14,Difficultés économiques,1–5 km,< 2000 MAD,1,1,1
AB401046,2015-2016,Casablanca-Settat,CAS,Benslimane,Rural,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,1–5 km,4000-7000 MAD,6,0,1
AB401047,2020-2021,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Collégial,Année 1,Masculin,14,Travail enfant,< 1 km,< 2000 MAD,2,1,1
AB401048,2023-2024,Oriental,ORI,Taourirt,Rural,Qualifiant,Année 1,Masculin,17,Éloignement de l'établissement,5–15 km,4000-7000 MAD,5,0,0
AB401049,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Primaire,Année 5,Féminin,7,Difficultés scolaires,1–5 km,< 2000 MAD,4,1,0
AB401050,2020-2021,Oriental,ORI,Nador,Rural,Qualifiant,Année 3,Féminin,18,Éloignement de l'établissement,< 1 km,4000-7000 MAD,7,1,1
AB401051,2020-2021,Béni Mellal-Khénifra,BMK,Azilal,Rural,Qualifiant,Année 1,Féminin,16,Grossesse,1–5 km,2000-4000 MAD,5,0,0
AB401052,2023-2024,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Collégial,Année 3,Féminin,14,Mariage précoce,5–15 km,< 2000 MAD,1,1,0
AB401053,2020-2021,Casablanca-Settat,CAS,Casablanca,Urbain,Collégial,Année 1,Masculin,15,Grossesse,1–5 km,4000-7000 MAD,8,0,0
AB401054,2019-2020,Marrakech-Safi,MAR,Marrakech,Rural,Qualifiant,Année 1,Masculin,16,Difficultés scolaires,> 15 km,2000-4000 MAD,3,0,0
AB401055,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Primaire,Année 2,Féminin,7,Travail enfant,1–5 km,2000-4000 MAD,6,1,0
AB401056,2016-2017,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Qualifiant,Année 2,Masculin,18,Éloignement de l'établissement,> 15 km,< 2000 MAD,8,1,0
AB401057,2022-2023,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Collégial,Année 1,Féminin,13,Difficultés économiques,5–15 km,2000-4000 MAD,5,1,1
AB401058,2017-2018,Oriental,ORI,Figuig,Urbain,Primaire,Année 1,Féminin,8,Travail enfant,1–5 km,2000-4000 MAD,6,1,0
AB401059,2015-2016,Marrakech-Safi,MAR,Al Haouz,Urbain,Primaire,Année 2,Masculin,8,Autre,> 15 km,< 2000 MAD,4,1,0
AB401060,2021-2022,Fès-Meknès,FES,El Hajeb,Urbain,Collégial,Année 3,Masculin,13,Difficultés scolaires,1–5 km,< 2000 MAD,7,1,0
AB401061,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Rural,Collégial,Année 3,Masculin,13,Difficultés économiques,> 15 km,< 2000 MAD,6,0,0
AB401062,2017-2018,Oriental,ORI,Taourirt,Rural,Collégial,Année 3,Féminin,13,Mariage précoce,5–15 km,2000-4000 MAD,7,0,0
AB401063,2016-2017,Fès-Meknès,FES,Fès,Rural,Primaire,Année 3,Féminin,8,Éloignement de l'établissement,1–5 km,2000-4000 MAD,7,1,0
AB401064,2022-2023,Oriental,ORI,Nador,Urbain,Collégial,Année 3,Féminin,15,Autre,> 15 km,2000-4000 MAD,7,1,1
AB401065,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Collégial,Année 1,Masculin,15,Difficultés scolaires,> 15 km,4000-7000 MAD,5,1,1
AB401066,2022-2023,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Primaire,Année 3,Féminin,10,Éloignement de l'établissement,1–5 km,> 7000 MAD,2,1,0
AB401067,2021-2022,Fès-Meknès,FES,Ifrane,Urbain,Collégial,Année 1,Masculin,13,Difficultés économiques,< 1 km,2000-4000 MAD,3,1,1
AB401068,2019-2020,Fès-Meknès,FES,Ifrane,Urbain,Primaire,Année 6,Masculin,9,Difficultés scolaires,5–15 km,< 2000 MAD,1,0,0
AB401069,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Qualifiant,Année 3,Masculin,16,Mariage précoce,< 1 km,< 2000 MAD,6,1,1
AB401070,2018-2019,Oriental,ORI,Driouch,Rural,Primaire,Année 6,Masculin,8,Travail enfant,1–5 km,2000-4000 MAD,6,1,0
AB401071,2023-2024,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Qualifiant,Année 1,Masculin,17,Mariage précoce,> 15 km,2000-4000 MAD,1,1,0
AB401072,2016-2017,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Collégial,Année 3,Féminin,14,Manque d'infrastructures,< 1 km,4000-7000 MAD,8,0,1
AB401073,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Collégial,Année 3,Féminin,13,Mariage précoce,< 1 km,< 2000 MAD,2,1,1
AB401074,2021-2022,Marrakech-Safi,MAR,Youssoufia,Rural,Primaire,Année 2,Féminin,10,Travail enfant,> 15 km,> 7000 MAD,2,0,0
AB401075,2019-2020,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Qualifiant,Année 1,Masculin,18,Grossesse,1–5 km,4000-7000 MAD,4,1,0
AB401076,2015-2016,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Collégial,Année 1,Masculin,15,Difficultés économiques,5–15 km,4000-7000 MAD,5,1,0
AB401077,2017-2018,Casablanca-Settat,CAS,El Jadida,Urbain,Collégial,Année 2,Féminin,13,Travail enfant,1–5 km,< 2000 MAD,7,1,0
AB401078,2019-2020,Laâyoune-Sakia El Hamra,LAA,Es-Semara,Rural,Qualifiant,Année 1,Masculin,17,Manque d'infrastructures,< 1 km,4000-7000 MAD,1,1,1
AB401079,2016-2017,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Qualifiant,Année 2,Féminin,16,Éloignement de l'établissement,1–5 km,2000-4000 MAD,1,0,1
AB401080,2022-2023,Casablanca-Settat,CAS,Khouribga,Rural,Collégial,Année 1,Masculin,14,Grossesse,1–5 km,< 2000 MAD,5,0,1
AB401081,2019-2020,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Collégial,Année 3,Féminin,15,Mariage précoce,< 1 km,< 2000 MAD,6,1,0
